c1_exemplar,b1_exemplar,a1_exemplar,c2_exemplar,c3_exemplar,a2_exemplar,mastery_criterion,b3_exemplar,a3_exemplar,b2_exemplar,target_category_required,sample_category,target_category_wrong_2,required_response,target_category_wrong_1,trial_description,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,sample,target_left,target_middle,target_right,correct_in_a_row,passed_training,response.keys,response.corr,response.rt,participant,gender,age,frameRate,expName,date,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,c1,a1,c3,left,c2,ac,0,0,0,0,0,0,0,9,A1,C1,C3,C2,1,False,left,1,1.15575909615,1,,,59.5440116751,MTS - OtM 3x3,2016_Apr_17_2246,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,c2,a2,c3,left,c1,ac,0,0,0,0,0,1,1,12,A2,C2,C3,C1,2,False,left,1,1.25635695457,1,,,59.5440116751,MTS - OtM 3x3,2016_Apr_17_2246,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,b3,a3,b2,down,b1,ab,0,0,0,0,0,2,2,8,A3,B1,B3,B2,3,False,down,1,0.653379917145,1,,,59.5440116751,MTS - OtM 3x3,2016_Apr_17_2246,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,c2,a2,c3,right,c1,ac,0,0,0,0,0,3,3,13,A2,C1,C3,C2,0,False,left,0,0.485982179642,1,,,59.5440116751,MTS - OtM 3x3,2016_Apr_17_2246,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,b1,a1,b3,down,b2,ab,0,0,0,0,0,4,4,2,A1,B3,B1,B2,1,False,down,1,0.754168987274,1,,,59.5440116751,MTS - OtM 3x3,2016_Apr_17_2246,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,b1,a1,b3,left,b2,ab,0,0,0,0,0,5,5,0,A1,B1,B3,B2,2,False,left,1,0.536836147308,1,,,59.5440116751,MTS - OtM 3x3,2016_Apr_17_2246,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,c3,a3,c2,down,c1,ac,0,0,0,0,0,6,6,17,A3,C2,C3,C1,3,False,down,1,2.37897205353,1,,,59.5440116751,MTS - OtM 3x3,2016_Apr_17_2246,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,b2,a2,b3,down,b1,ab,0,0,0,0,0,7,7,5,A2,B3,B2,B1,4,False,down,1,0.702790021896,1,,,59.5440116751,MTS - OtM 3x3,2016_Apr_17_2246,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,c1,a1,c3,down,c2,ac,0,0,0,0,0,8,8,11,A1,C3,C1,C2,5,False,down,1,0.63694691658,1,,,59.5440116751,MTS - OtM 3x3,2016_Apr_17_2246,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,c3,a3,c2,left,c1,ac,0,0,0,0,0,9,9,15,A3,C3,C2,C1,6,False,left,1,0.83820104599,1,,,59.5440116751,MTS - OtM 3x3,2016_Apr_17_2246,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,b3,a3,b2,right,b1,ab,0,0,0,0,0,10,10,7,A3,B1,B2,B3,7,False,right,1,1.17346787453,1,,,59.5440116751,MTS - OtM 3x3,2016_Apr_17_2246,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,c3,a3,c2,right,c1,ac,0,0,0,0,0,11,11,16,A3,C1,C2,C3,8,False,right,1,0.770628929138,1,,,59.5440116751,MTS - OtM 3x3,2016_Apr_17_2246,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,b3,a3,b2,left,b1,ab,0,0,0,0,0,12,12,6,A3,B3,B1,B2,9,False,left,1,0.753759145737,1,,,59.5440116751,MTS - OtM 3x3,2016_Apr_17_2246,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,b2,a2,b3,right,b1,ab,0,0,0,0,0,13,13,4,A2,B1,B3,B2,10,False,right,1,1.20666384697,1,,,59.5440116751,MTS - OtM 3x3,2016_Apr_17_2246,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,b2,a2,b3,left,b1,ab,0,0,0,0,0,14,14,3,A2,B2,B3,B1,11,False,left,1,0.939699888229,1,,,59.5440116751,MTS - OtM 3x3,2016_Apr_17_2246,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,b1,a1,b3,right,b2,ab,0,0,0,0,0,15,15,1,A1,B3,B2,B1,12,False,right,1,0.670477151871,1,,,59.5440116751,MTS - OtM 3x3,2016_Apr_17_2246,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,c1,a1,c3,right,c2,ac,0,0,0,0,0,16,16,10,A1,C3,C2,C1,13,False,right,1,0.604579925537,1,,,59.5440116751,MTS - OtM 3x3,2016_Apr_17_2246,
C1,B1,A1,C2,C3,A2,15,B3,A3,B2,c2,a2,c3,down,c1,ac,0,0,0,0,0,17,17,14,A2,C1,C2,C3,14,False,down,1,1.24027299881,1,,,59.5440116751,MTS - OtM 3x3,2016_Apr_17_2246,
